#SampleID	fastqFile	SequencingRun	Treatment	Timepoint
Villapol_POST_198	"Villapol_POST_198_R1_001.fastq.gz,Villapol_POST_198_R2_001.fastq.gz"	A	ABX	POST
Villapol_POST_199	"Villapol_POST_199_R1_001.fastq.gz,Villapol_POST_199_R2_001.fastq.gz"	A	ABX	POST
Villapol_POST_200	"Villapol_POST_200_R1_001.fastq.gz,Villapol_POST_200_R2_001.fastq.gz"	A	ABX	POST
Villapol_POST201	"Villapol_POST201_R1_001.fastq.gz,Villapol_POST201_R2_001.fastq.gz"	A	VEH	POST
Villapol_POST_202	"Villapol_POST_202_R1_001.fastq.gz,Villapol_POST_202_R2_001.fastq.gz"	A	VEH	POST
Villapol_POST_203	"Villapol_POST_203_R1_001.fastq.gz,Villapol_POST_203_R2_001.fastq.gz"	A	VEH	POST
Villapol_POST_204	"Villapol_POST_204_R1_001.fastq.gz,Villapol_POST_204_R2_001.fastq.gz"	A	VEH	POST
Villapol_POST_205	"Villapol_POST_205_R1_001.fastq.gz,Villapol_POST_205_R2_001.fastq.gz"	A	VEH	POST
Villapol_POST_206	"Villapol_POST_206_R1_001.fastq.gz,Villapol_POST_206_R2_001.fastq.gz"	A	VEH	POST
Villapol_POST_207	"Villapol_POST_207_R1_001.fastq.gz,Villapol_POST_207_R2_001.fastq.gz"	A	VEH	POST
Villapol_POST_208	"Villapol_POST_208_R1_001.fastq.gz,Villapol_POST_208_R2_001.fastq.gz"	A	VEH	POST
Villapol_POST_209	"Villapol_POST_209_R1_001.fastq.gz,Villapol_POST_209_R2_001.fastq.gz"	A	VEH	POST
Villapol_PRE_190	"Villapol_PRE_190_R1_001.fastq.gz,Villapol_PRE_190_R2_001.fastq.gz"	A	ABX	PRE
Villapol_PRE_191	"Villapol_PRE_191_R1_001.fastq.gz,Villapol_PRE_191_R2_001.fastq.gz"	A	ABX	PRE
Villapol_PRE_192	"Villapol_PRE_192_R1_001.fastq.gz,Villapol_PRE_192_R2_001.fastq.gz"	A	ABX	PRE
Villapol_PRE_193	"Villapol_PRE_193_R1_001.fastq.gz,Villapol_PRE_193_R2_001.fastq.gz"	A	ABX	PRE
Villapol_PRE_194	"Villapol_PRE_194_R1_001.fastq.gz,Villapol_PRE_194_R2_001.fastq.gz"	A	ABX	PRE
Villapol_PRE_195	"Villapol_PRE_195_R1_001.fastq.gz,Villapol_PRE_195_R2_001.fastq.gz"	A	ABX	PRE
Villapol_PRE_196	"Villapol_PRE_196_R1_001.fastq.gz,Villapol_PRE_196_R2_001.fastq.gz"	A	ABX	PRE
Villapol_PRE_197	"Villapol_PRE_197_R1_001.fastq.gz,Villapol_PRE_197_R2_001.fastq.gz"	A	ABX	PRE
Villapol_PRE_198	"Villapol_PRE_198_R1_001.fastq.gz,Villapol_PRE_198_R2_001.fastq.gz"	A	ABX	PRE
Villapol_PRE_199	"Villapol_PRE_199_R1_001.fastq.gz,Villapol_PRE_199_R2_001.fastq.gz"	A	ABX	PRE
Villapol_PRE_200	"Villapol_PRE_200_R1_001.fastq.gz,Villapol_PRE_200_R2_001.fastq.gz"	A	VEH	PRE
Villapol_PRE_201	"Villapol_PRE_201_R1_001.fastq.gz,Villapol_PRE_201_R2_001.fastq.gz"	A	VEH	PRE
Villapol_PRE_202	"Villapol_PRE_202_R1_001.fastq.gz,Villapol_PRE_202_R2_001.fastq.gz"	A	VEH	PRE
Villapol_PRE_203	"Villapol_PRE_203_R1_001.fastq.gz,Villapol_PRE_203_R2_001.fastq.gz"	A	VEH	PRE
Villapol_PRE_204	"Villapol_PRE_204_R1_001.fastq.gz,Villapol_PRE_204_R2_001.fastq.gz"	A	VEH	PRE
Villapol_PRE_205	"Villapol_PRE_205_R1_001.fastq.gz,Villapol_PRE_205_R2_001.fastq.gz"	A	VEH	PRE
Villapol_PRE_206	"Villapol_PRE_206_R1_001.fastq.gz,Villapol_PRE_206_R2_001.fastq.gz"	A	VEH	PRE
Villapol_PRE_207	"Villapol_PRE_207_R1_001.fastq.gz,Villapol_PRE_207_R2_001.fastq.gz"	A	VEH	PRE
Villapol_PRE_208	"Villapol_PRE_208_R1_001.fastq.gz,Villapol_PRE_208_R2_001.fastq.gz"	A	VEH	PRE
Villapol_PRE_209	"Villapol_PRE_209_R1_001.fastq.gz,Villapol_PRE_209_R2_001.fastq.gz"	A	VEH	PRE
